184,Indian Institute of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,1,2,0,4,0,2,0,6,0,25,29,2
185,Indian Institute of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,5,0,3,0,9,1,38,47,1
186,Indian Institute of Technology (ISM) Dhanbad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,40,2,9,1,15,1,7,1,27,2,105,111,20
187,Indian Institute of Technology (ISM) Dhanbad,"Mining Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,38,0,10,0,14,0,7,0,25,0,94,103,14
188,Indian Institute of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,0,5,0,7,0,3,0,12,0,45,47,9
189,Indian Institute of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,1,7,0,10,1,5,0,19,1,72,79,11
190,Indian Institute of Technology (ISM) Dhanbad,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,3,0,5,0,3,0,9,1,36,37,8
191,Indian Institute of Technology (ISM) Dhanbad,"Mathematics and Computing (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,17,1,4,0,6,1,3,0,11,1,44,52,3
192,Indian Institute of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,7,0,2,0,2,0,1,0,5,0,17,19,2
193,Indian Institute of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,7,0,2,0,2,0,1,0,5,0,17,19,2
194,Indian Institute of Technology Ropar,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,0,2,0,2,1,1,0,6,0,20,24,1
195,Indian Institute of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,1,3,0,4,0,2,0,6,1,28,32,3
196,Indian Institute of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,6,1,9,1,5,0,18,0,67,73,11
197,Indian Institute of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,6,1,10,0,5,0,16,2,67,72,12
198,Indian Institute of Technology Ropar,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,3,0,3,1,2,0,6,0,25,29,2
